time_of_day,weather_severity,active_sensors,historical_flow,is_congested
0,0,47,3028,0
14,5,29,1188,0
7,1,36,2481,0
1,2,42,4227,0
2,3,26,3045,0
23,5,20,3669,0
13,0,33,1265,0
23,4,20,700,0
13,1,16,2125,0
10,3,21,1684,0
15,2,41,1087,0
3,0,31,2065,0
19,1,29,1539,0
4,0,17,4715,0
21,5,12,968,1
20,4,9,2163,0
13,2,16,1229,0
22,0,45,4478,0
15,3,7,4556,0
17,5,39,3829,1
6,5,37,2034,0
9,2,26,1176,1
6,5,48,1739,1
0,3,13,1492,0
22,0,45,130,0
20,2,22,803,0
18,5,33,968,1
15,5,43,332,1
18,3,31,1050,1
3,4,40,158,0
17,4,49,2918,1
1,5,21,3700,1
0,0,38,3249,0
14,2,50,401,0
4,5,7,2950,1
19,1,9,3044,0
10,2,18,2023,0
9,4,7,416,1
1,5,27,1988,1
2,3,43,2815,0
22,1,34,4885,0
22,5,49,1981,1
11,0,27,3998,0
19,1,31,4213,0
4,5,14,1278,0
4,0,29,3955,0
5,1,17,4973,0
8,0,20,4555,1
1,0,45,431,0
20,1,38,627,0
11,1,41,2159,0
2,0,26,1198,0
19,4,21,311,0
21,1,27,1814,0
11,5,40,2788,0
23,2,13,2430,0
16,3,6,3366,1
9,0,36,1132,1
23,0,26,1432,0
13,3,47,1940,0
22,4,17,4786,0
16,3,12,2238,1
17,1,5,4651,1
18,3,21,4191,1
16,0,16,543,0
13,3,8,4274,0
8,2,17,1598,1
7,5,35,1026,1
1,1,45,722,0
12,3,11,1579,0
6,0,27,3137,0
8,5,28,3485,1
21,1,9,3418,0
21,0,9,333,0
10,4,21,1717,1
13,2,34,2791,0
3,4,13,2130,1
12,2,10,486,0
1,3,29,1734,0
22,1,23,4233,0
4,3,20,1284,0
10,2,25,2067,0
5,2,6,340,0
17,2,14,661,1
20,5,20,2099,1
9,0,41,2029,1
3,1,19,2879,0
8,3,17,1775,1
5,3,17,2615,0
1,4,36,1777,0
16,2,49,4241,1
4,2,50,3846,0
5,2,12,3456,0
11,3,47,1751,0
22,4,22,4277,0
20,0,40,3941,0
9,5,30,2541,1
21,1,14,4985,0
20,0,35,694,0
5,3,37,2712,0
7,5,33,4196,1
1,5,9,1596,0
11,5,17,3655,1
12,2,5,4961,1
20,1,27,4866,0
6,3,44,3458,0
9,3,7,1701,1
12,5,7,1014,1
16,3,11,1944,1
20,1,40,2095,0
13,1,39,194,0
1,4,19,592,0
21,4,44,3169,1
10,0,7,249,0
0,1,33,1146,0
18,1,34,2903,1
20,1,43,498,0
3,4,22,4576,1
18,5,15,651,1
20,5,47,394,0
10,3,42,1243,0
7,5,44,555,1
10,2,5,1653,0
3,4,33,268,0
16,1,14,4905,1
6,5,32,2046,1
7,4,35,353,1
2,5,23,2476,1
21,0,7,1420,0
1,1,40,2983,0
22,0,47,3707,0
14,1,19,2225,0
23,4,37,3596,1
21,3,45,2340,1
21,5,47,500,1
4,5,49,2256,1
23,2,30,2476,0
0,0,20,462,0
3,5,40,4038,1
14,4,37,3951,0
19,3,24,3512,0
18,4,17,2406,1
2,0,37,184,0
19,2,9,1924,0
10,5,41,3985,1
16,4,18,407,1
12,1,31,4457,0
10,3,27,2021,0
1,4,18,730,1
8,3,44,4875,1
1,5,8,2471,0
20,1,43,3400,0
8,2,23,3767,1
8,2,8,826,1
7,1,34,1748,1
16,3,23,4412,1
0,5,35,1369,1
10,4,35,4643,1
7,1,13,418,0
9,0,17,3575,1
6,3,18,2878,0
2,2,50,3158,0
2,1,14,4234,0
17,2,35,1702,1
4,3,41,2356,0
11,2,27,929,0
11,1,31,955,0
18,3,10,2748,1
5,0,30,1958,0
1,1,6,1202,0
11,4,49,2581,1
18,5,17,1920,1
4,1,23,2179,0
11,3,5,3258,0
16,5,44,2540,1
16,1,36,3784,1
9,0,26,1355,1
22,0,33,3057,0
16,4,6,3751,1
14,2,44,2339,0
11,5,42,2039,0
15,3,15,369,0
23,3,21,4930,0
18,2,47,4164,1
7,0,12,3875,1
20,0,26,1212,0
16,1,8,748,1
22,4,15,1279,1
4,5,12,2242,1
21,4,13,116,0
15,4,30,216,0
5,1,6,1645,0
7,4,20,3251,1
17,2,35,2793,1
11,1,10,4189,0
14,2,25,1376,0
8,1,30,3340,1
12,4,23,3888,0
14,2,32,471,0
9,2,12,2907,1
15,2,18,255,0
6,1,28,2761,0
16,3,48,564,1
22,4,41,4978,0
20,2,30,4999,0
21,5,35,4415,1
6,3,36,1873,0
13,5,45,216,1
14,4,6,2203,0
20,4,29,1474,1
6,2,48,3303,0
8,2,6,4503,1
18,1,46,3646,1
15,3,5,4077,1
7,3,40,4417,1
17,2,16,1296,1
22,4,13,3511,1
17,2,40,896,1
19,4,45,3992,1
6,4,32,250,0
2,2,42,3349,0
17,0,37,211,0
9,3,46,782,1
6,5,50,1261,0
16,4,26,2479,1
13,4,29,260,0
23,0,22,1525,0
2,5,10,3761,1
11,1,22,377,0
12,0,20,3491,0
1,5,19,1656,0
2,0,12,4692,0
4,4,17,2015,0
10,3,47,4850,0
7,0,11,3207,1
22,1,21,402,0
22,2,36,4633,0
11,5,26,2873,1
6,0,17,4381,0
14,0,27,3345,0
23,1,33,4868,0
16,3,26,1100,1
3,0,5,3934,0
21,0,33,4106,0
12,3,9,4878,1
17,1,39,1818,1
0,5,14,3930,0
15,5,23,3281,1
12,0,41,2982,0
9,3,11,1098,1
11,0,50,384,0
1,2,39,520,0
22,5,49,2260,1
2,4,17,3165,1
9,2,14,2375,1
1,0,6,1594,0
22,1,10,3984,0
12,5,12,4723,1
12,4,40,2643,0
17,2,29,4226,1
2,5,48,4357,1
6,3,44,1941,0
13,1,11,4900,0
19,2,50,821,0
16,3,27,1501,1
20,0,23,545,0
11,3,50,2891,0
15,2,26,4622,1
23,2,17,3867,0
11,0,25,2651,0
14,3,5,2067,0
9,3,23,3988,1
6,0,37,4916,0
19,3,8,2831,0
4,5,46,2729,0
0,0,7,2064,0
16,1,31,1157,1
2,2,45,4931,1
12,1,39,857,0
13,5,32,1895,1
23,5,10,1743,0
17,4,10,4949,1
3,4,48,123,0
17,4,27,1339,1
4,0,37,4250,0
15,3,20,3197,0
0,5,28,1404,0
20,1,9,2642,0
13,1,45,3812,0
14,1,46,4055,0
8,1,17,4629,1
14,4,16,4403,1
16,1,9,4328,1
23,3,41,1405,0
3,4,35,4564,1
11,1,32,3274,0
4,0,32,3728,0
4,2,34,881,0
10,2,22,666,0
5,2,48,4722,1
6,4,31,4232,0
23,1,39,4373,0
13,5,30,738,0
23,5,43,3800,1
10,5,22,4267,1
12,4,37,2499,0
1,3,29,2770,0
6,0,35,1272,0
19,0,41,1820,0
3,2,6,204,0
7,2,37,1782,1
19,5,43,4416,1
21,5,47,1949,1
20,2,47,962,0
18,1,36,3545,1
12,3,22,2665,0
13,3,21,398,0
9,3,38,3008,1
10,3,43,4237,0
1,2,11,870,0
8,0,46,2639,1
16,2,39,1562,1
2,3,34,3954,1
23,2,16,3218,0
5,3,39,2232,0
4,4,15,1809,0
4,5,48,1090,0
21,0,8,810,0
14,4,29,4404,1
22,1,36,138,0
16,2,24,1375,1
8,1,35,4957,1
2,2,8,1536,0
19,5,42,3093,1
16,4,5,1569,1
9,5,7,2199,1
2,3,41,473,0
17,5,26,4351,1
17,5,21,4125,1
16,3,18,1213,1
23,2,45,2826,0
2,3,39,2498,1
2,4,17,3334,0
5,5,39,1365,1
12,3,47,3223,0
23,5,6,753,1
14,4,17,4258,1
8,1,20,608,1
3,4,22,2439,1
13,0,11,3262,0
4,0,49,1787,0
1,0,40,1488,0
10,5,45,2297,1
8,2,34,4011,1
23,2,46,3028,0
2,2,45,4899,0
8,5,11,615,1
2,4,19,3758,0
1,2,44,1933,0
11,1,23,129,0
9,0,47,3314,1
8,4,41,425,1
14,0,6,3866,0
7,2,46,4211,1
4,4,17,210,0
10,3,44,206,0
1,1,45,2526,0
23,2,47,4478,1
14,2,47,4464,1
5,1,35,2631,0
7,1,20,3244,1
4,3,46,4793,0
15,2,48,898,0
17,5,10,2537,1
5,2,32,2111,0
4,0,36,525,0
15,4,48,3144,0
12,4,14,3388,0
4,0,22,3014,0
12,4,8,1339,1
16,1,13,3491,1
17,4,11,4313,1
7,4,12,4097,1
12,0,47,3106,0
18,3,11,3139,1
2,4,45,698,0
23,5,44,2187,1
7,4,7,1284,1
1,3,21,2850,0
7,0,6,2684,1
12,3,19,4859,1
12,0,50,3613,0
0,1,33,4845,0
5,0,26,4154,0
23,1,8,4483,0
18,1,10,4036,1
15,0,42,1799,0
7,5,30,4607,1
0,2,15,2675,0
15,0,30,235,0
8,4,21,2125,1
12,5,28,3635,1
10,5,32,4954,1
12,4,39,2990,0
20,2,35,2857,0
9,5,17,3873,1
3,1,39,480,0
5,2,20,1628,0
6,4,19,4671,1
4,2,47,3728,0
10,0,22,948,0
12,2,41,4227,1
18,1,45,2027,1
22,0,31,2265,0
9,3,39,4386,1
9,4,49,2221,1
10,4,39,4818,1
20,2,32,3018,0
6,5,43,4781,1
17,0,42,572,0
3,3,13,1887,0
1,0,16,213,0
13,4,19,1436,0
12,0,25,438,0
11,3,39,2385,0
6,5,46,1296,1
1,2,37,178,0
12,1,23,4659,0
13,0,27,2752,0
16,1,17,4757,1
8,4,48,4480,1
16,2,5,4418,1
7,2,33,2740,1
1,0,28,1356,0
23,5,20,927,0
12,2,29,2818,0
2,0,27,2910,0
15,0,32,3485,0
5,1,20,2065,0
18,2,47,2527,1
6,0,42,2941,0
9,1,15,713,1
8,3,7,662,1
1,1,19,4926,0
14,1,5,4452,0
4,0,11,284,0
21,4,5,2292,0
3,4,36,4165,1
19,5,13,345,0
3,4,33,4186,1
17,1,30,2334,1
3,5,27,965,0
16,0,49,2187,0
11,2,47,700,0
21,1,33,3133,0
16,1,42,2156,1
9,5,37,2231,1
21,0,11,632,0
0,3,16,2142,0
21,1,35,457,0
23,3,36,477,0
17,3,24,2319,1
17,4,21,4588,1
13,0,40,4897,0
14,3,7,3407,0
11,0,5,2696,0
3,4,31,883,0
2,0,44,2479,0
19,1,37,3703,0
11,3,24,1082,0
6,0,18,4042,0
10,2,40,2690,0
0,0,9,1142,0
5,3,27,2638,0
14,4,49,961,0
14,4,19,1976,1
18,3,10,1935,1
10,1,37,4308,0
22,1,23,3626,0
1,4,17,1785,0
13,4,33,3501,1
1,3,10,1722,0
3,1,19,2757,0
16,4,20,2032,1
2,1,28,607,0
12,4,27,4661,1
8,0,14,3578,0
6,2,45,2756,0
14,5,45,1221,1
22,0,21,389,0
10,5,48,2929,1
19,4,49,2309,1
1,2,34,4912,0
14,2,48,1500,0
13,4,50,666,0
19,4,14,1573,1
21,1,23,2087,0
10,4,33,3887,0
2,3,6,3965,1
16,4,40,3360,1
11,3,23,3647,0
23,4,11,3351,1
20,1,30,1816,0
14,3,19,1112,0
15,0,42,1410,0
4,3,7,4670,1
19,1,42,717,0
5,5,20,4836,1
18,3,6,4357,1
4,4,35,2082,0
2,4,32,2328,1
0,5,11,4920,1
5,1,34,568,0
14,2,47,4216,1
1,4,11,4455,1
2,0,40,1239,0
16,1,33,1536,1
23,3,28,636,0
11,3,43,1051,0
17,0,8,2913,0
14,4,33,3106,1
11,1,48,4094,0
15,0,9,1940,0
7,4,33,950,1
13,1,34,2071,0
16,3,33,1291,1
20,1,30,4020,0
7,5,23,4728,1
14,2,30,2162,0
13,1,41,3146,0
17,2,31,4499,1
19,1,34,3658,0
6,2,34,4611,1
2,5,7,404,0
11,3,47,2947,0
20,4,11,2535,0
23,2,13,2904,0
2,5,45,2084,0
19,2,46,4036,0
13,3,17,812,0
14,2,19,2995,0
13,5,9,1781,0
6,5,33,1433,1
16,0,39,3298,1
11,3,31,274,0
19,0,31,3305,0
3,3,12,1516,0
8,2,36,2087,1
5,5,24,4953,1
15,0,14,1872,0
21,2,17,4366,1
21,5,33,1174,1
20,3,39,4860,0
20,5,12,691,0
1,2,33,3078,0
23,0,35,4082,0
7,0,45,2510,1
10,5,34,947,1
12,2,26,593,0
16,1,25,645,0
7,3,16,2386,1
20,3,15,2797,1
17,2,6,3937,1
17,1,45,1640,1
13,0,6,983,0
14,4,38,4056,0
5,4,7,3194,1
10,2,20,2465,0
12,1,8,3447,0
0,1,27,3171,0
5,3,24,3775,0
8,0,29,4815,1
7,5,34,1052,1
10,1,22,3400,0
21,5,46,3835,1
18,4,15,3279,1
23,5,33,3063,1
8,0,21,4127,1
16,0,30,3347,1
11,5,27,4515,1
13,2,24,3457,0
14,1,49,4948,0
15,2,6,2804,0
21,5,28,1137,0
21,1,35,170,0
19,3,31,2974,0
0,2,6,205,0
9,2,18,869,1
7,5,8,2109,1
17,4,17,3040,1
0,5,40,2292,0
1,2,39,3595,0
0,1,48,4411,0
0,4,12,4455,1
8,5,6,1033,1
12,5,10,674,0
0,2,35,4030,0
12,2,14,4480,0
19,3,48,4187,0
21,5,25,2631,1
6,2,46,2519,0
1,0,14,169,0
5,4,27,4574,0
6,0,7,1402,0
13,4,36,3914,1
17,5,24,2449,1
14,3,14,354,0
1,2,33,1807,0
9,2,45,4887,1
22,2,50,933,0
11,5,38,2864,1
16,4,41,2571,1
7,2,24,3842,1
10,0,12,2135,0
2,2,11,2067,0
5,5,10,199,1
8,3,15,1952,1
5,0,48,3283,0
8,2,22,2455,1
6,2,46,211,0
8,1,33,3258,1
17,4,29,282,1
11,0,25,3952,0
7,1,50,264,1
7,3,7,2237,1
17,4,22,2123,1
19,0,28,554,0
14,2,42,2385,0
6,0,14,4922,0
10,2,31,641,0
19,4,16,2765,1
15,2,11,2549,0
3,3,21,4033,0
5,5,5,2986,1
21,2,30,4714,0
2,3,19,4392,0
8,5,37,4004,1
9,4,41,1788,1
13,4,35,1737,1
10,0,39,4828,0
17,3,5,4770,1
21,3,12,4182,0
11,1,16,1990,0
22,1,23,3305,0
11,5,29,577,0
12,5,36,2466,0
12,1,16,2626,0
18,5,17,466,1
18,2,32,1936,1
22,1,5,1815,0
13,3,10,112,0
3,2,12,635,0
12,5,8,3339,1
7,4,9,2417,1
22,0,29,4142,0
20,1,26,475,0
22,4,32,1824,0
18,5,43,356,1
11,3,27,2364,0
17,0,8,549,0
5,4,8,993,0
17,0,25,3312,1
18,1,41,1284,1
21,5,45,3323,1
4,3,6,1408,0
23,5,11,4805,1
8,0,20,1016,1
2,4,21,247,0
9,1,24,4851,1
18,1,27,2214,0
2,5,38,4116,1
21,4,15,4040,0
14,4,38,4171,1
0,0,37,2895,0
6,5,30,542,1
11,5,6,3044,0
16,2,27,4036,1
20,5,45,498,0
23,1,26,1251,0
19,0,38,3892,0
4,4,19,3095,0
3,5,14,2316,0
11,0,19,1807,0
19,5,46,3431,1
23,4,33,2087,0
17,3,27,4702,1
16,4,21,2668,1
18,4,13,260,1
8,4,40,4535,1
3,5,13,4004,1
20,2,20,3673,0
1,4,40,3277,0
3,1,37,1925,0
1,1,35,4024,0
14,0,10,1723,0
1,2,14,1276,0
3,0,20,3820,0
5,1,8,4980,0
6,1,26,3320,0
9,3,17,3359,1
18,4,20,230,1
18,1,33,3662,1
21,5,10,1599,0
11,5,30,2888,1
2,0,15,4976,0
12,0,28,3808,0
17,4,33,1807,1
7,4,7,1869,1
20,3,14,1418,0
14,2,5,3479,0
0,0,47,2873,0
2,4,30,3090,1
7,0,16,3144,1
3,4,18,475,0
15,1,29,3136,0
22,0,12,760,0
9,1,47,1503,1
11,0,8,840,0
13,2,32,403,0
13,3,11,1185,0
1,5,14,4981,1
22,5,40,3279,1
4,5,6,1310,1
4,1,30,3134,0
5,4,18,328,0
12,5,20,3219,1
8,2,47,1954,1
21,5,46,367,1
14,0,21,2874,0
13,1,50,2949,0
23,0,26,4449,0
6,0,8,2234,0
19,0,23,3559,0
1,3,6,2369,0
6,3,43,1089,0
5,4,13,4592,1
16,1,23,1037,0
1,2,20,539,0
2,2,29,2458,0
4,2,22,2107,0
4,0,27,3445,0
0,3,25,4230,1
7,1,15,4916,1
11,0,43,3843,0
23,3,45,618,0
3,3,8,368,0
12,5,29,4833,1
22,5,36,4285,0
14,1,34,1488,0
10,1,49,1794,0
9,1,30,3373,1
2,0,40,1489,0
21,4,38,3965,1
13,1,13,3129,0
15,5,16,2435,1
9,4,6,3774,1
9,0,42,4676,1
11,4,9,600,0
8,2,9,1761,1
0,4,26,2199,0
4,1,9,202,0
19,0,8,2846,0
7,1,13,3376,1
10,5,33,3185,1
11,2,26,3637,0
0,5,31,1427,0
21,1,14,2574,0
19,1,20,1779,0
10,1,46,3846,0
4,3,46,2662,0
14,2,14,4263,0
4,1,10,3417,0
11,1,9,2536,0
4,5,10,407,0
16,5,29,4096,1
16,1,8,1189,1
23,0,44,4655,0
11,3,36,2494,0
23,5,39,4104,1
14,0,14,766,0
14,3,38,4263,1
5,1,40,2334,0
11,2,10,1336,0
19,4,47,1723,1
17,4,50,1474,1
13,1,20,3411,0
1,5,23,276,0
8,0,38,1453,0
4,2,29,3028,0
19,3,35,725,0
0,1,45,2754,0
22,2,21,3708,0
2,2,34,3815,0
5,5,43,4374,1
4,3,35,494,0
20,2,23,1268,0
4,5,39,297,1
0,0,33,1068,0
16,5,5,4008,1
18,0,8,3255,1
13,0,32,4864,0
11,2,22,2604,0
9,5,30,1376,1
19,0,44,4267,0
20,3,23,4418,0
17,2,10,1369,1
23,5,5,1464,0
10,5,12,1023,1
1,4,37,570,0
17,5,47,3116,1
6,2,25,2154,0
23,3,28,4383,0
14,5,29,2151,1
10,4,47,3054,1
17,2,23,1248,1
22,0,33,3186,0
11,1,14,1059,0
5,1,16,729,0
19,0,37,874,0
22,5,11,459,0
12,1,21,617,0
19,1,14,1443,0
15,0,35,2069,0
17,5,10,3327,1
9,5,21,2999,1
22,0,41,1034,0
7,5,22,2086,1
17,5,30,476,1
20,2,20,3660,0
0,2,12,1874,0
22,0,28,1605,0
7,3,17,2754,1
5,1,33,1110,0
4,2,36,3577,0
14,1,28,1330,0
21,4,20,1277,0
14,0,15,3957,0
1,3,36,2195,0
0,4,10,1772,0
22,4,39,2028,0
22,5,37,3939,1
10,4,22,3278,1
9,0,41,4368,0
17,2,17,2653,1
17,0,14,2545,0
16,2,41,4489,1
7,4,30,651,1
14,4,50,2997,0
7,3,21,1139,1
16,2,5,984,1
11,4,29,3151,0
7,5,38,4329,1
13,1,43,4966,0
3,3,14,3697,1
0,0,24,2655,0
0,3,11,1189,0
18,1,20,4675,1
15,2,41,558,0
13,0,33,4821,0
20,0,16,4354,0
15,2,21,2107,0
4,3,24,2020,0
8,4,30,4627,1
1,3,23,1103,0
17,1,16,3183,1
5,5,25,2214,0
8,4,46,2689,1
0,3,38,2243,0
8,5,11,4410,1
15,5,49,2341,0
12,2,39,2186,0
8,1,19,1038,1
20,1,5,4401,0
12,1,30,4070,0
8,4,39,4099,1
10,0,29,4750,0
3,4,46,3508,1
1,3,19,870,0
5,5,26,348,1
13,5,10,472,0
3,0,19,3026,0
5,3,28,3957,0
18,0,25,801,0
5,5,11,2285,0
1,4,33,1041,0
17,1,36,4014,1
12,5,36,893,1
8,2,9,777,1
22,1,8,1661,0
18,5,26,4153,1
12,4,22,552,0
10,0,39,2566,0
0,1,21,3756,0
23,4,28,4246,1
21,3,6,3854,1
6,2,17,309,0
20,1,19,2026,0
14,0,9,4066,0
0,3,7,1977,1
11,4,41,726,0
6,2,41,2826,0
14,0,41,1558,0
20,4,7,2924,1
18,4,39,1350,1
0,1,27,4858,0
16,1,32,4463,1
16,0,34,2263,1
2,5,22,1723,0
11,5,40,1953,0
5,4,37,853,0
10,1,30,1968,0
2,2,44,281,0
7,2,21,1613,1
13,4,44,1002,0
13,1,11,3444,0
9,0,12,3553,1
1,0,35,3707,0
13,0,16,2656,0
8,2,35,2239,1
2,1,48,4344,0
20,1,23,2264,0
7,2,14,2712,1
15,0,43,2121,0
1,0,16,2921,0
5,4,24,2381,0
20,5,41,1670,0
11,3,45,2072,0
4,5,11,4086,1
1,1,18,2344,0
15,1,15,2542,0
4,1,11,813,0
14,5,33,3645,1
11,3,14,322,0
3,4,33,963,0
14,5,13,4725,1
10,3,40,1525,0
15,0,14,2404,0
22,0,23,753,0
5,1,35,1259,0
13,2,21,1942,0
17,1,13,543,1
11,2,49,2565,0
10,3,37,4769,0
12,0,38,4536,0
20,5,49,2957,1
22,2,28,1380,0
10,3,13,3139,0
22,0,11,3895,0
15,5,20,3737,1
14,2,23,3858,0
20,1,43,199,0
14,1,10,2186,0
3,1,15,2410,0
10,3,16,4345,0
18,1,46,2837,1
14,4,17,1707,1
3,0,16,3053,0
20,3,25,4081,1
12,5,14,3294,1
21,1,24,4439,0
18,0,40,4782,1
1,2,32,3192,0
13,1,28,3062,0
3,0,9,2762,0
15,4,41,955,0
20,2,16,2246,0
19,4,39,1486,0
13,5,44,1816,1
14,0,6,4251,0
2,4,45,1825,0
7,5,49,2053,1
15,0,43,284,0
9,0,46,621,0
3,4,13,2411,0
17,0,26,1348,0
1,1,9,1758,0
16,0,16,1102,1
12,3,5,3327,0
3,5,48,3238,1
10,0,26,2028,0
6,3,42,493,0
11,0,23,1717,0
9,0,20,3741,1
6,4,35,760,0
12,1,7,4264,0
6,5,27,419,1
23,1,46,2324,0
16,2,22,683,1
9,4,30,3700,1
9,4,17,681,1
23,1,22,3796,0
3,4,7,1867,0
19,1,27,1656,0
3,4,7,1898,0
21,0,29,4306,0
6,1,31,1098,0
21,1,48,857,0
0,3,31,382,0
11,4,43,4996,1
23,4,29,230,0
12,1,28,1393,0
9,0,12,160,1
14,0,13,2311,0
12,5,50,1648,1
22,0,41,4467,0
21,4,34,1881,1
21,3,23,137,0
20,1,20,3731,0
21,2,28,2764,0
8,3,48,573,1
8,2,25,158,1
14,3,40,2736,0
9,0,44,2714,0
23,4,43,2714,0
9,2,10,4578,1
7,3,9,1511,1
23,4,18,184,0
15,2,49,1633,0
16,1,46,3897,1
4,3,8,2774,0
3,1,12,2973,0
17,0,28,3220,0
23,1,15,1190,0
18,1,21,2934,1
3,5,25,4324,1
6,3,30,2176,0
9,0,47,3290,0
17,1,48,4887,1
18,4,49,4328,1
3,2,31,1308,0
9,1,20,3677,1
0,0,30,4841,0
22,1,37,2681,0
17,2,35,3887,1
4,0,10,615,0
14,3,48,2312,0
16,0,12,3074,1
2,3,11,1032,0
11,0,38,1763,0
1,2,48,656,0
0,2,18,1771,0
22,0,20,1092,0
20,1,47,1728,0
16,2,13,1791,1
21,3,14,4952,0
15,3,21,1204,0
4,4,16,1370,0
14,5,10,3002,0
2,5,23,4844,1
6,5,47,1509,1
10,3,45,3746,0
9,4,33,1430,1
8,5,10,4823,1
13,5,29,2154,1
12,0,28,1053,0
1,0,29,1942,0
2,0,20,2902,0
6,1,20,109,0
20,5,10,2709,1
17,1,41,221,1
2,4,25,4882,0
9,3,8,2660,1
21,5,38,3137,0
6,3,32,540,0
8,0,42,2849,1
16,5,45,690,1
10,2,32,1468,0
6,1,21,2089,0
23,1,18,1461,0
13,5,11,3873,1
18,0,26,2164,1
3,1,5,2515,0
5,0,33,3051,0
9,4,35,2868,1
6,3,34,3516,0
12,2,19,1676,0
13,3,22,214,0
3,3,39,1468,0
7,4,34,238,1
4,1,38,3473,0
0,2,46,1415,0
3,1,15,173,0
2,5,31,3946,1
8,3,28,583,1
7,5,39,4211,1
0,0,43,1649,0
5,3,12,1459,0
8,1,22,1996,1
6,3,17,4324,1
3,0,49,610,0
12,4,28,522,0
16,5,27,2532,1
1,5,16,2006,0
4,1,34,4427,0
11,3,35,1058,0
20,1,32,924,0
7,4,26,164,1
5,3,48,4810,1
7,3,32,3448,1
17,1,17,900,1
2,1,29,377,0
21,0,48,1817,0
11,4,50,2513,1
2,0,11,1338,0
21,5,49,4623,1
5,3,10,1586,0
1,1,28,4781,0
22,3,23,3398,1
11,3,23,4570,0
1,2,40,3095,0
5,5,13,192,0
16,2,40,3631,1
2,3,42,1940,0
1,1,44,3627,0
22,3,33,1721,0
19,5,28,1661,0
7,2,9,1516,1
21,1,46,3064,0
11,3,49,4290,0
3,4,30,1230,0
4,5,18,1513,0
12,5,43,3697,1
14,4,33,3844,0
22,3,10,2218,0
15,5,11,763,0
9,1,41,2734,1
22,3,22,2874,0
15,3,27,4069,0
11,2,48,3590,0
16,5,42,1671,1
15,5,5,1623,0
11,4,8,1087,0
7,2,48,3338,1
19,2,39,3945,0
2,5,27,3793,1
15,3,31,198,0
12,2,30,2388,0
22,4,12,1614,1
18,2,47,4397,1
7,4,20,733,1
21,2,45,4941,0
4,4,7,4685,1
19,2,36,678,0
7,2,9,4059,1
23,1,24,372,0
11,4,18,4981,1
0,4,36,4054,0
20,4,30,4027,1
19,0,10,552,0
5,2,40,1275,0
21,4,44,513,1
17,5,9,1650,1
7,0,17,4626,0
6,1,36,2046,0
0,4,20,291,0
20,4,5,140,0
15,0,17,1959,0
11,2,15,1432,0
5,5,12,3549,1
19,1,29,235,0
1,4,44,4301,1
13,2,36,4714,0
3,5,28,2041,0
0,5,32,1665,0
22,1,18,4321,0
17,3,49,488,1
12,5,7,1658,1
1,3,40,2221,0
8,5,31,1128,1
20,1,24,3634,0
1,0,19,181,0
8,1,31,875,0
0,1,49,3138,0
10,0,45,4473,0
2,0,32,2987,0
19,2,29,1978,0
22,5,46,2371,1
3,2,48,1707,0
17,0,50,3239,1
22,3,37,705,0
5,3,50,4835,0
2,1,18,3514,0
21,4,12,3765,1
10,1,18,2244,0
14,1,5,4370,0
21,4,20,3865,1
4,5,22,1476,1
19,0,11,3562,0
9,3,19,447,1
11,1,28,100,0
14,4,17,162,0
16,2,13,1883,1
9,1,19,3914,1
5,3,39,325,0
17,0,28,1142,1
12,1,37,944,0
2,1,20,2780,0
23,5,12,4219,1
9,4,33,1334,1
13,2,27,2084,0
5,2,49,4356,1
2,0,35,1378,0
15,3,44,1694,0
6,0,18,2651,0
19,1,34,2052,0
13,1,43,1795,0
8,2,31,1054,1
14,3,20,3391,1
20,4,10,456,0
2,3,37,3695,0
1,1,48,1068,0
1,4,22,341,0
2,3,20,3546,0
17,3,16,4334,1
13,4,24,2244,1
19,1,49,246,0
17,3,44,642,1
9,4,33,791,1
1,5,34,1125,1
21,5,30,4150,1
0,1,26,4105,0
3,4,37,3459,0
13,5,43,3051,1
0,4,33,829,0
13,3,26,4599,1
15,1,49,2655,0
21,5,17,1250,0
13,3,13,1835,0
19,0,28,1138,0
2,0,19,3012,0
2,1,40,4940,0
8,5,17,2640,1
5,5,31,4514,1
12,5,48,1342,1
20,4,41,872,0
1,3,11,2016,0
7,5,12,3512,1
20,3,41,2599,0
1,1,45,3540,0
3,5,18,3645,1
14,1,16,1313,0
3,5,40,3031,1
12,0,44,518,0
11,2,21,3881,0
12,1,44,888,0
13,5,33,1971,1
19,2,31,4690,0
17,1,5,2125,1
5,4,38,2546,1
10,5,8,4923,1
1,4,28,660,0
22,0,25,2751,0
18,5,37,4004,1
18,0,11,639,1
4,2,5,4855,1
18,1,45,3236,1
1,3,7,3389,1
9,0,48,2710,1
1,3,19,2044,0
10,3,35,3245,1
17,1,20,2858,1
23,2,14,3360,0
14,1,33,4207,0
8,5,10,1995,1
22,0,33,2600,0
18,3,21,2929,1
8,1,26,3973,1
2,1,28,147,0
20,1,21,2464,0
8,0,25,2356,0
13,2,15,4772,0
18,1,11,853,0
6,0,46,2902,0
15,3,43,4749,0
15,5,9,3752,1
0,4,48,502,0
3,0,25,2186,0
3,4,22,2327,1
6,1,39,3510,0
7,1,24,3090,1
16,0,19,4743,0
4,4,9,1249,0
6,1,17,162,0
19,3,16,3253,1
19,2,25,1108,0
3,2,41,2131,0
5,1,10,1422,0
6,4,11,2181,0
17,5,30,851,1
4,1,46,4244,0
19,5,12,757,0
2,5,13,1760,1
